text,author,tags,born_date,born_location,image_urls,images
"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy","September 30, 1928","in Sighet, Romania",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/ELIE_WIESEL_%285112581267%29.jpg/1280px-ELIE_WIESEL_%285112581267%29.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/ELIE_WIESEL_%285112581267%29.jpg/1280px-ELIE_WIESEL_%285112581267%29.jpg', 'path': 'full/36c3dfd99042d58abb821a258a40c69d07b68845.jpg', 'checksum': 'f1c127eb37a86924de029e1fa1389058', 'status': 'downloaded'}]"
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,"October 11, 1884",in The United States,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Eleanor_Roosevelt_portrait_1933.jpg/1280px-Eleanor_Roosevelt_portrait_1933.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Eleanor_Roosevelt_portrait_1933.jpg/1280px-Eleanor_Roosevelt_portrait_1933.jpg', 'path': 'full/24594026b2fd1f9f66411dfa09e9ea1dd5ebc57e.jpg', 'checksum': '7a9a703615eef9afddd8b6adb6e84031', 'status': 'downloaded'}]"
"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",Dr. Seuss,fantasy,"March 02, 1904","in Springfield, MA, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Theodor_Seuss_Geisel_%2801037v%29.jpg/1280px-Theodor_Seuss_Geisel_%2801037v%29.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Theodor_Seuss_Geisel_%2801037v%29.jpg/1280px-Theodor_Seuss_Geisel_%2801037v%29.jpg', 'path': 'full/efd5db5436af552b4f8a479188b629cdc50e56a2.jpg', 'checksum': '231d2a5d905de0f7c0fa82a569715cd1', 'status': 'downloaded'}]"
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage","October 15, 1844","in Röcken bei Lützen, Prussian Province of Saxony, Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Nietzsche187a.jpg/1280px-Nietzsche187a.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Nietzsche187a.jpg/1280px-Nietzsche187a.jpg', 'path': 'full/26865ae85e2ea8c59bce0c9d15077723d6e98c3a.jpg', 'checksum': 'eb98ca312fe6c5210ea081066923940a', 'status': 'downloaded'}]"
"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley,love,"February 06, 1945","in Nine Mile, Saint Ann, Jamaica",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Bob-Marley.jpg/1280px-Bob-Marley.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Bob-Marley.jpg/1280px-Bob-Marley.jpg', 'path': 'full/b3b6ae427791b3d6306e28f37221ddf42a4fd313.jpg', 'checksum': '4f75a2ba4581fc752372a2adb7d20e6e', 'status': 'downloaded'}]"
"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley,music,"February 06, 1945","in Nine Mile, Saint Ann, Jamaica",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Bob-Marley.jpg/1280px-Bob-Marley.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Bob-Marley.jpg/1280px-Bob-Marley.jpg', 'path': 'full/b3b6ae427791b3d6306e28f37221ddf42a4fd313.jpg', 'checksum': '4f75a2ba4581fc752372a2adb7d20e6e', 'status': 'downloaded'}]"
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe,"friends,heartbreak,inspirational,life,love,sisters","June 01, 1926",in The United States,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Monroecirca1953.jpg/1280px-Monroecirca1953.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Monroecirca1953.jpg/1280px-Monroecirca1953.jpg', 'path': 'full/a5dbd7a02894fea219a7d97d143130925fa63df0.jpg', 'checksum': '22b4c9e294b1e74d03ab6932ca2e93d2', 'status': 'downloaded'}]"
"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling,"courage,friends","July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/1280px-J._K._Rowling_2010.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/1280px-J._K._Rowling_2010.jpg', 'path': 'full/67931e69367794fed5aba6adfce69cc8c6a2792b.jpg', 'checksum': 'ed591c7b7e9bf1d935519a56a252a23c', 'status': 'downloaded'}]"
"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein,"simplicity,understand","March 14, 1879","in Ulm, Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Einstein_1921_by_F_Schmutzer_-_restoration.jpg/1280px-Einstein_1921_by_F_Schmutzer_-_restoration.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Einstein_1921_by_F_Schmutzer_-_restoration.jpg/1280px-Einstein_1921_by_F_Schmutzer_-_restoration.jpg', 'path': 'full/4f5cac5a8fd769e8d99283af96dd5d4f80464d48.jpg', 'checksum': 'feb6831cb8cd65d196be883f73c7f277', 'status': 'downloaded'}]"
"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",J.K. Rowling,,"July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/1280px-J._K._Rowling_2010.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/1280px-J._K._Rowling_2010.jpg', 'path': 'full/67931e69367794fed5aba6adfce69cc8c6a2792b.jpg', 'checksum': 'ed591c7b7e9bf1d935519a56a252a23c', 'status': 'downloaded'}]"
“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein,imagination,"March 14, 1879","in Ulm, Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Einstein_1921_by_F_Schmutzer_-_restoration.jpg/1280px-Einstein_1921_by_F_Schmutzer_-_restoration.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Einstein_1921_by_F_Schmutzer_-_restoration.jpg/1280px-Einstein_1921_by_F_Schmutzer_-_restoration.jpg', 'path': 'full/4f5cac5a8fd769e8d99283af96dd5d4f80464d48.jpg', 'checksum': 'feb6831cb8cd65d196be883f73c7f277', 'status': 'downloaded'}]"
"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling,"death,inspirational","July 31, 1965","in Yate, South Gloucestershire, England, The United Kingdom",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/1280px-J._K._Rowling_2010.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/J._K._Rowling_2010.jpg/1280px-J._K._Rowling_2010.jpg', 'path': 'full/67931e69367794fed5aba6adfce69cc8c6a2792b.jpg', 'checksum': 'ed591c7b7e9bf1d935519a56a252a23c', 'status': 'downloaded'}]"
“Any fool can know. The point is to understand.”,Albert Einstein,"knowledge,learning,understanding,wisdom","March 14, 1879","in Ulm, Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Einstein_1921_by_F_Schmutzer_-_restoration.jpg/1280px-Einstein_1921_by_F_Schmutzer_-_restoration.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Einstein_1921_by_F_Schmutzer_-_restoration.jpg/1280px-Einstein_1921_by_F_Schmutzer_-_restoration.jpg', 'path': 'full/4f5cac5a8fd769e8d99283af96dd5d4f80464d48.jpg', 'checksum': 'feb6831cb8cd65d196be883f73c7f277', 'status': 'downloaded'}]"
“We read to know we're not alone.”,William Nicholson,"misattributed-to-c-s-lewis,reading","January 12, 1948","in Lewes, Sussex, The United Kingdom",https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png,"[{'url': 'https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Disambig_gray.svg/30px-Disambig_gray.svg.png', 'path': 'full/ea9f82b53062c96fa51788ffaf8881801440210b.jpg', 'checksum': '643383a319e93222e2ff9a41801e4680', 'status': 'downloaded'}]"
"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",Dr. Seuss,"comedy,life,yourself","March 02, 1904","in Springfield, MA, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Theodor_Seuss_Geisel_%2801037v%29.jpg/1280px-Theodor_Seuss_Geisel_%2801037v%29.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Theodor_Seuss_Geisel_%2801037v%29.jpg/1280px-Theodor_Seuss_Geisel_%2801037v%29.jpg', 'path': 'full/efd5db5436af552b4f8a479188b629cdc50e56a2.jpg', 'checksum': '231d2a5d905de0f7c0fa82a569715cd1', 'status': 'downloaded'}]"
“It is never too late to be what you might have been.”,George Eliot,inspirational,"November 22, 1819","in South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/George_Eliot%2C_por_Fran%C3%A7ois_D%27Albert_Durade.jpg/1280px-George_Eliot%2C_por_Fran%C3%A7ois_D%27Albert_Durade.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/George_Eliot%2C_por_Fran%C3%A7ois_D%27Albert_Durade.jpg/1280px-George_Eliot%2C_por_Fran%C3%A7ois_D%27Albert_Durade.jpg', 'path': 'full/ada103a6287532723e2e3378f64ead73a677babe.jpg', 'checksum': 'd1b302ede2d1e0d7ebd49be2f7ef1db2', 'status': 'downloaded'}]"
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein,"children,fairy-tales","March 14, 1879","in Ulm, Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Einstein_1921_by_F_Schmutzer_-_restoration.jpg/1280px-Einstein_1921_by_F_Schmutzer_-_restoration.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Einstein_1921_by_F_Schmutzer_-_restoration.jpg/1280px-Einstein_1921_by_F_Schmutzer_-_restoration.jpg', 'path': 'full/4f5cac5a8fd769e8d99283af96dd5d4f80464d48.jpg', 'checksum': 'feb6831cb8cd65d196be883f73c7f277', 'status': 'downloaded'}]"
“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz,"chocolate,food,humor","November 26, 1922","in Minneapolis, MN, The United States",https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Charles_Schulz_NYWTS.jpg/1280px-Charles_Schulz_NYWTS.jpg,"[{'url': 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Charles_Schulz_NYWTS.jpg/1280px-Charles_Schulz_NYWTS.jpg', 'path': 'full/916eff659ce2fd996e556c819e898ee7e360364f.jpg', 'checksum': 'fdf3fab6c8b641db6890f3577905f8fc', 'status': 'downloaded'}]"
