PK_player,first_name,last_name,hand,born_date,country,urls
209152,Daniel,Khin,U,,HUN,https://en.wikipedia.org/wiki/Daniel_Kinahan
132042,Carter,Lin,R,19960212.0,USA,https://en.wikipedia.org/wiki/Carter_Lindberg
112621,Piet,Van Eijsden,,19360509.0,NED,https://en.wikipedia.org/wiki/Piet_van_Eijsden
129453,Michael,Garcia,U,19870707.0,COL,https://en.wikipedia.org/wiki/Michael_Garcia
103883,Lucas,Engel,U,19811201.0,BRA,https://en.wikipedia.org/wiki/Lukas_Engel
139244,Todd,Gordon,U,,USA,https://en.wikipedia.org/wiki/Todd_Gordon_(NASCAR)
144711,Luka,Panic,U,19980208.0,SUI,https://en.wikipedia.org/wiki/Luka_Pavicevic
113050,Ryuki,Miki,,,JPN,https://en.wikipedia.org/wiki/Ryuki_Miki
104383,Diogo,Rocha,R,19840614.0,POR,https://en.wikipedia.org/wiki/Diogo_Rocha
114057,Joop,Knottenbelt,,,NED,https://en.wikipedia.org/wiki/Joop_Knottenbelt
104281,Ryler,Deheart,L,19840103.0,USA,https://en.wikipedia.org/wiki/Ryler_DeHeart
104770,Martin,Fischer,R,19860721.0,AUT,https://en.wikipedia.org/wiki/Martin_Fischer
203336,Marco,Marron,U,19710524.0,NED,https://en.wikipedia.org/wiki/Marc_Morrone
139671,Allan,Ille,U,19740709.0,AUS,https://en.wikipedia.org/wiki/Allan_Miller
100596,Bill,Cowan,R,19590428.0,CAN,https://en.wikipedia.org/wiki/Bill_Cowan
135235,Alexandre,Nicolau,U,19830603.0,FRA,https://en.wikipedia.org/wiki/Alexandru_Nicolau
143078,Yuya,Hayashi,U,19870620.0,JPN,https://en.wikipedia.org/wiki/Yuga_Hayashi
203728,Arthur,Freeman,U,19730329.0,USA,https://en.wikipedia.org/wiki/Arthur_Freeman
103339,Wesley,Whitehouse,L,19790313.0,RSA,https://en.wikipedia.org/wiki/Wesley_Whitehouse
108219,Scott,Marshall,R,,USA,https://en.wikipedia.org/wiki/Scott_Marshall
200535,Victor,Chaw,U,19980916.0,PER,https://en.wikipedia.org/wiki/Victor_Chang
114072,Berkeley,Bell,,19071108.0,USA,https://en.wikipedia.org/wiki/Berkeley_Bell
142981,Richard,Gonzalez,U,19830530.0,USA,https://en.wikipedia.org/wiki/Richard_Gonzalez
109307,Luis,Faria,R,19990718.0,BRA,https://en.wikipedia.org/wiki/Luis_Fari%C3%B1a
